iter	Passed	Remaining
0	0	663
1	1	628
2	1	603
3	2	584
4	3	701
5	4	672
6	4	652
7	5	669
8	5	659
9	6	636
10	6	627
11	7	611
12	7	596
13	8	582
14	8	570
15	9	562
16	9	556
17	10	549
18	10	546
19	10	538
20	11	532
21	11	530
22	12	524
23	12	520
24	13	516
25	13	512
26	14	507
27	14	502
28	15	503
29	15	498
30	15	495
31	16	493
32	16	491
33	17	489
34	17	488
35	18	486
36	19	504
37	20	507
38	20	506
39	21	507
40	21	508
41	22	505
42	22	502
43	23	501
44	23	499
45	23	497
46	24	494
47	24	492
48	25	490
49	25	489
50	26	486
51	26	486
52	27	484
53	27	482
54	27	480
55	28	480
56	28	478
57	29	476
58	29	475
59	30	473
60	30	471
61	31	469
62	31	468
63	32	468
64	32	467
65	33	477
66	34	476
67	34	478
68	35	478
69	35	476
70	36	474
71	36	473
72	37	473
73	37	472
74	38	470
75	38	468
76	38	467
77	39	465
78	39	464
79	40	464
80	40	463
81	41	462
82	41	460
83	42	460
84	42	459
85	43	458
86	43	457
87	43	455
88	44	454
89	44	454
90	45	453
91	45	452
92	46	451
93	46	450
94	47	448
95	47	447
96	48	447
97	48	446
98	49	450
99	50	450
100	50	449
101	51	449
102	51	448
103	51	447
104	52	446
105	52	445
106	53	444
107	53	443
108	54	442
109	54	442
110	55	441
111	55	440
112	56	439
113	56	439
114	58	447
115	58	446
116	58	444
117	59	443
118	59	443
119	60	443
120	60	442
121	61	441
122	61	440
123	62	439
124	62	438
125	63	440
126	64	440
127	64	440
128	65	441
129	66	445
130	67	446
131	67	446
132	68	445
133	68	444
134	69	443
135	69	442
136	70	441
137	70	441
138	71	441
139	71	441
140	72	440
141	72	438
142	73	438
143	74	442
144	75	442
145	75	441
146	76	441
147	76	440
148	77	441
149	77	440
150	78	441
151	80	447
152	80	447
153	81	446
154	82	447
155	83	449
156	83	448
157	84	448
158	85	450
159	85	449
160	86	448
161	86	448
162	87	447
163	87	447
164	89	451
165	89	451
166	90	450
167	90	450
168	91	449
169	91	448
170	92	447
171	92	446
172	93	446
173	93	445
174	94	445
175	95	445
176	95	445
177	96	447
178	97	446
179	97	445
180	98	447
181	99	446
182	99	445
183	100	444
184	100	443
185	101	443
186	101	442
187	102	442
188	102	441
189	103	440
190	103	439
191	104	439
192	104	438
193	105	437
194	105	436
195	106	436
196	106	435
197	107	434
198	108	435
199	109	436
200	109	435
201	110	436
202	111	436
203	112	440
204	113	440
205	114	439
206	114	439
207	115	439
208	116	439
209	116	438
210	117	437
211	117	437
212	118	436
213	118	435
214	119	434
215	119	433
216	120	433
217	120	432
218	120	431
219	121	430
220	121	429
221	122	428
222	122	427
223	123	426
224	123	426
225	124	426
226	125	425
227	125	425
228	126	427
229	127	428
230	128	427
231	129	428
232	130	428
233	130	427
234	131	427
235	132	427
236	132	427
237	133	426
238	133	425
239	134	424
240	134	424
241	135	423
242	135	422
243	136	421
244	136	420
245	137	420
246	137	419
247	138	418
248	138	417
249	139	417
250	139	416
251	140	415
252	140	414
253	140	414
254	141	412
255	141	412
256	143	413
257	144	414
258	144	414
259	145	413
260	145	412
261	146	412
262	146	411
263	147	411
264	147	410
265	148	409
266	148	408
267	149	407
268	149	407
269	150	406
270	150	405
271	151	404
272	151	403
273	152	403
274	152	402
275	152	401
276	153	400
277	154	400
278	154	399
279	155	398
280	155	397
281	155	397
282	156	396
283	156	395
284	157	394
285	157	394
286	158	393
287	159	393
288	160	393
289	160	393
290	162	395
291	162	394
292	163	394
293	163	393
294	164	392
295	164	392
296	165	391
297	165	390
298	166	389
299	166	389
300	167	388
301	167	387
302	168	386
303	168	385
304	169	385
305	169	384
306	170	383
307	170	383
308	170	382
309	171	381
310	171	380
311	172	379
